GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.pojo,DirectMessage,0,17,0,0,0,8,0,5,0,5
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.pojo,UserData,0,32,0,0,0,9,0,6,0,6
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.pojo,MessageData,0,10,0,0,0,5,0,3,0,3
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.server.jdo,User,0,108,0,2,0,23,0,10,0,9
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.server.jdo,Message,0,42,0,0,0,11,0,4,0,4
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.client,Reserva,149,0,0,0,43,0,18,0,18,0
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.client,Habitacion,103,0,0,0,29,0,15,0,15,0
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.client,Habitacion.TiposHabitacion,33,0,0,0,2,0,1,0,1,0
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.client,Login,35,141,2,4,9,31,2,6,1,4
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.client,Cliente,107,0,0,0,30,0,15,0,15,0
Mockito + Jersey + DataNucleus + MySQL,es.deusto.spq.server,Resource,3,208,0,10,2,54,0,10,0,5
